participant,level,emmean,asymp.LCL,asymp.UCL
1,IT,20.666666666666604,17.39171023887042,23.941623094462788
1,V1,17.033333333333267,13.758376905537084,20.30828976112945
1,V2,20.983333333333267,17.708376905537083,24.25828976112945
1,V4,21.983333333333267,18.708376905537083,25.25828976112945
1,word2vec,21.833333333333268,18.558376905537084,25.108289761129452
2,IT,18.399999999999935,15.12504357220375,21.67495642779612
2,V1,15.416666666666602,12.14171023887042,18.691623094462784
2,V2,17.516666666666602,14.241710238870418,20.791623094462786
2,V4,19.149999999999935,15.87504357220375,22.42495642779612
2,word2vec,19.13333333333327,15.858376905537085,22.408289761129453
3,IT,20.249999999999936,16.975043572203752,23.52495642779612
3,V1,17.316666666666602,14.041710238870419,20.591623094462786
3,V2,19.699999999999935,16.42504357220375,22.97495642779612
3,V4,20.366666666666603,17.09171023887042,23.641623094462787
3,word2vec,21.38333333333327,18.108376905537085,24.658289761129453
4,IT,20.066666666666602,16.79171023887042,23.341623094462786
4,V1,19.48333333333327,16.208376905537087,22.758289761129454
4,V2,19.4666666666666,16.191710238870417,22.741623094462785
4,V4,19.733333333333267,16.458376905537083,23.00828976112945
4,word2vec,21.699999999999935,18.42504357220375,24.97495642779612
5,IT,24.333333333333268,21.058376905537084,27.608289761129452
5,V1,18.43333333333327,15.158376905537086,21.708289761129453
5,V2,18.749999999999936,15.475043572203752,22.02495642779612
5,V4,22.099999999999934,18.82504357220375,25.374956427796118
5,word2vec,20.43333333333327,17.158376905537086,23.708289761129453
6,IT,19.249999999999936,15.975043572203752,22.52495642779612
6,V1,20.233333333333267,16.958376905537083,23.50828976112945
6,V2,18.699999999999935,15.425043572203752,21.97495642779612
6,V4,14.599999999999936,11.325043572203754,17.874956427796118
6,word2vec,18.249999999999936,14.975043572203752,21.52495642779612
7,IT,24.149999999999935,20.87504357220375,27.42495642779612
7,V1,19.733333333333267,16.458376905537083,23.00828976112945
7,V2,18.799999999999937,15.525043572203753,22.07495642779612
7,V4,19.266666666666602,15.991710238870418,22.541623094462786
7,word2vec,18.68333333333327,15.408376905537086,21.958289761129453
8,IT,22.949999999999935,19.67504357220375,26.22495642779612
8,V1,21.366666666666603,18.09171023887042,24.641623094462787
8,V2,21.13333333333327,17.858376905537085,24.408289761129453
8,V4,19.549999999999937,16.275043572203753,22.82495642779612
8,word2vec,20.13333333333327,16.858376905537085,23.408289761129453
9,IT,21.166666666666604,17.89171023887042,24.441623094462788
9,V1,18.483333333333267,15.208376905537083,21.75828976112945
9,V2,19.366666666666603,16.09171023887042,22.641623094462787
9,V4,17.666666666666604,14.39171023887042,20.941623094462788
9,word2vec,17.366666666666603,14.09171023887042,20.641623094462787
10,IT,20.7166666666666,17.441710238870417,23.991623094462785
10,V1,19.549999999999937,16.275043572203753,22.82495642779612
10,V2,18.366666666666603,15.09171023887042,21.641623094462787
10,V4,20.116666666666603,16.84171023887042,23.391623094462787
10,word2vec,24.13333333333327,20.858376905537085,27.408289761129453
11,IT,24.699999999999935,21.42504357220375,27.97495642779612
11,V1,21.499999999999936,18.225043572203752,24.77495642779612
11,V2,24.949999999999935,21.67504357220375,28.22495642779612
11,V4,23.449999999999935,20.17504357220375,26.72495642779612
11,word2vec,21.38333333333327,18.108376905537085,24.658289761129453
12,IT,19.6666666666666,16.391710238870417,22.941623094462784
12,V1,16.13333333333327,12.858376905537085,19.408289761129453
12,V2,15.949999999999935,12.675043572203752,19.22495642779612
12,V4,17.4166666666666,14.141710238870417,20.691623094462784
12,word2vec,22.849999999999934,19.57504357220375,26.124956427796118
13,IT,22.4666666666666,19.191710238870417,25.741623094462785
13,V1,21.749999999999932,18.47504357220375,25.024956427796116
13,V2,24.6166666666666,21.341710238870416,27.891623094462783
13,V4,21.2166666666666,17.941710238870417,24.491623094462785
13,word2vec,21.116666666666603,17.84171023887042,24.391623094462787
14,IT,24.516666666666602,21.241710238870418,27.791623094462786
14,V1,18.599999999999937,15.325043572203754,21.87495642779612
14,V2,20.98333333333327,17.708376905537087,24.258289761129454
14,V4,21.566666666666602,18.29171023887042,24.841623094462786
14,word2vec,22.7166666666666,19.441710238870417,25.991623094462785
15,IT,20.6666666666666,17.391710238870417,23.941623094462784
15,V1,20.766666666666602,17.491710238870418,24.041623094462786
15,V2,20.049999999999937,16.775043572203753,23.32495642779612
15,V4,20.033333333333267,16.758376905537084,23.30828976112945
15,word2vec,21.816666666666602,18.54171023887042,25.091623094462786
16,IT,20.816666666666602,17.54171023887042,24.091623094462786
16,V1,21.766666666666602,18.491710238870418,25.041623094462786
16,V2,20.999999999999936,17.725043572203752,24.27495642779612
16,V4,20.016666666666602,16.741710238870418,23.291623094462786
16,word2vec,24.816666666666602,21.54171023887042,28.091623094462786
17,IT,24.199999999999935,20.92504357220375,27.47495642779612
17,V1,18.2166666666666,14.941710238870417,21.491623094462785
17,V2,17.833333333333268,14.558376905537084,21.108289761129452
17,V4,21.699999999999935,18.42504357220375,24.97495642779612
17,word2vec,20.649999999999938,17.375043572203754,23.924956427796122
18,IT,22.983333333333267,19.708376905537083,26.25828976112945
18,V1,19.4166666666666,16.141710238870417,22.691623094462784
18,V2,21.233333333333267,17.958376905537083,24.50828976112945
18,V4,23.649999999999938,20.375043572203754,26.924956427796122
18,word2vec,25.049999999999937,21.775043572203757,28.324956427796117
19,IT,21.349999999999934,18.075043572203754,24.624956427796114
19,V1,16.24999999999994,12.975043572203754,19.524956427796127
19,V2,19.549999999999937,16.275043572203746,22.824956427796128
19,V4,19.799999999999937,16.525043572203753,23.07495642779612
19,word2vec,25.316666666666602,22.041710238870408,28.591623094462797
