item1,value,item2,t1,t2,t
4,0.620164088574833,21,32,33,640-660 ms
4,0.8169341836046844,22,32,33,640-660 ms
4,0.7367470412386642,23,32,33,640-660 ms
4,0.7151861076445001,24,32,33,640-660 ms
4,0.8023890917388012,25,32,33,640-660 ms
4,0.6649415267528095,26,32,33,640-660 ms
4,0.6962236819711987,27,32,33,640-660 ms
4,0.8995905021061968,28,32,33,640-660 ms
4,0.8901205267486074,29,32,33,640-660 ms
4,0.8410310635739459,30,32,33,640-660 ms
4,0.8292292093847542,31,32,33,640-660 ms
4,0.8442094618404004,32,32,33,640-660 ms
4,0.8099425643712228,33,32,33,640-660 ms
4,0.9046092968044139,34,32,33,640-660 ms
4,0.8249866333047347,35,32,33,640-660 ms
4,0.7296218534324992,36,32,33,640-660 ms
4,0.7696906187092634,37,32,33,640-660 ms
4,0.6915433470221704,38,32,33,640-660 ms
4,0.7332235458555129,39,32,33,640-660 ms
4,0.6777879284103394,40,32,33,640-660 ms
4,0.6457000784951477,41,32,33,640-660 ms
4,0.6938068001513931,42,32,33,640-660 ms
4,0.7956077477486921,43,32,33,640-660 ms
4,0.6059821311842692,44,32,33,640-660 ms
4,0.833851640475274,45,32,33,640-660 ms
4,0.8027559875609629,46,32,33,640-660 ms
4,0.8425453427760473,47,32,33,640-660 ms
4,0.6827082831614283,48,32,33,640-660 ms
4,0.8126377479091769,49,32,33,640-660 ms
4,0.7306874232839017,50,32,33,640-660 ms
4,0.756607621869188,51,32,33,640-660 ms
4,0.6790821011971018,52,32,33,640-660 ms
4,0.7714222261639249,53,32,33,640-660 ms
4,0.7639562826932597,54,32,33,640-660 ms
4,0.7891414555051265,55,32,33,640-660 ms
4,0.7445215526570195,56,32,33,640-660 ms
4,0.8315285334281719,57,32,33,640-660 ms
4,0.713555644232612,58,32,33,640-660 ms
4,0.8592084694391211,59,32,33,640-660 ms
4,0.8522544643509757,60,32,33,640-660 ms
5,0.8669504494871505,1,32,33,640-660 ms
5,0.8290680163191038,2,32,33,640-660 ms
5,0.8452948777738487,3,32,33,640-660 ms
5,0.8376647185359765,4,32,33,640-660 ms
5,1,5,32,33,640-660 ms
5,0.8276484911645832,6,32,33,640-660 ms
5,0.7191329536674897,7,32,33,640-660 ms
5,0.8044637941091818,8,32,33,640-660 ms
5,0.8092279533125979,9,32,33,640-660 ms
5,0.7412141590310979,10,32,33,640-660 ms
5,0.6766181167744539,11,32,33,640-660 ms
5,0.7138814186606468,12,32,33,640-660 ms
5,0.8246898921046165,13,32,33,640-660 ms
5,0.7500996666217413,14,32,33,640-660 ms
5,0.8909957318360902,15,32,33,640-660 ms
5,0.779513014938503,16,32,33,640-660 ms
5,0.7197611663151265,17,32,33,640-660 ms
5,0.8133573804158079,18,32,33,640-660 ms
5,0.6553260116101268,19,32,33,640-660 ms
5,0.749274570023741,20,32,33,640-660 ms
5,0.6084629594247852,21,32,33,640-660 ms
5,0.8173473586411362,22,32,33,640-660 ms
5,0.7446789293721995,23,32,33,640-660 ms
5,0.6737774525697432,24,32,33,640-660 ms
5,0.7382195460093853,25,32,33,640-660 ms
5,0.6728486888029594,26,32,33,640-660 ms
5,0.7348830679206885,27,32,33,640-660 ms
5,0.8633613474355165,28,32,33,640-660 ms
5,0.8936060238993611,29,32,33,640-660 ms
5,0.7994782940635913,30,32,33,640-660 ms
5,0.7983326258787198,31,32,33,640-660 ms
5,0.8221556674103672,32,32,33,640-660 ms
5,0.7809467222304299,33,32,33,640-660 ms
5,0.7825584359315285,34,32,33,640-660 ms
5,0.7502259466132736,35,32,33,640-660 ms
5,0.7209949020469218,36,32,33,640-660 ms
5,0.7238814097553379,37,32,33,640-660 ms
5,0.7480069543856904,38,32,33,640-660 ms
5,0.7166413643739118,39,32,33,640-660 ms
5,0.7301576142171579,40,32,33,640-660 ms
5,0.7307020765576229,41,32,33,640-660 ms
5,0.7924206236373735,42,32,33,640-660 ms
5,0.7468656625480694,43,32,33,640-660 ms
5,0.7931519555729677,44,32,33,640-660 ms
5,0.7642669312250573,45,32,33,640-660 ms
5,0.8267014432182694,46,32,33,640-660 ms
5,0.8279068593769598,47,32,33,640-660 ms
5,0.7415639801806752,48,32,33,640-660 ms
5,0.8415179510382492,49,32,33,640-660 ms
5,0.7783655097628966,50,32,33,640-660 ms
5,0.7682945748639342,51,32,33,640-660 ms
5,0.771734784920596,52,32,33,640-660 ms
5,0.7726942646835679,53,32,33,640-660 ms
5,0.7100915303017737,54,32,33,640-660 ms
5,0.7871475829597865,55,32,33,640-660 ms
5,0.8204644635508418,56,32,33,640-660 ms
5,0.7643206072193469,57,32,33,640-660 ms
5,0.5637598354015358,58,32,33,640-660 ms
