time,level,sd_cum,sd_tr,cum_true,tr_true,true_sim_diff,q_cum,q_tr,signif,cum_sig,tr_sig,timesig
8,IT,7.783653166399307,8.479571718196512,-49.77716301087819,-51.403458373852665,1.6262953629744743,-54.65803106357823,-55.377154789213954,NA,NA,8,NA
9,IT,7.6308871731247105,8.229706864981768,-49.24597286060176,-51.33392665551068,2.0879537949089197,-54.63059958181297,-55.19162559840732,NA,9,NA,NA
9,IT,7.6308871731247105,8.229706864981768,-49.24597286060176,-51.33392665551068,2.0879537949089197,-54.63059958181297,-55.19162559840732,NA,NA,9,NA
10,IT,7.780218772896842,10.399775620291221,-48.83148791840387,-52.23282271086234,3.4013347924584636,-54.60812156105741,-55.344010582900886,TRUE,10,NA,10
10,IT,7.780218772896842,10.399775620291221,-48.83148791840387,-52.23282271086234,3.4013347924584636,-54.60812156105741,-55.344010582900886,TRUE,NA,10,10
11,IT,7.932712976339731,8.724381676504363,-48.647700803184854,-51.165228303780054,2.5175275005952003,-54.60255143738196,-55.19588839137344,NA,11,NA,NA
11,IT,7.932712976339731,8.724381676504363,-48.647700803184854,-51.165228303780054,2.5175275005952003,-54.60255143738196,-55.19588839137344,NA,NA,11,NA
12,IT,7.951829075033426,8.21771213071,-48.150859539350485,-50.978775991239424,2.827916451888939,-54.61333035535888,-55.30509293904801,NA,12,NA,NA
12,IT,7.951829075033426,8.21771213071,-48.150859539350485,-50.978775991239424,2.827916451888939,-54.61333035535888,-55.30509293904801,NA,NA,12,NA
13,IT,7.675652152184934,8.934302505130244,-47.42771797628787,-49.72425347566333,2.2965354993754588,-54.61822602088711,-55.32702253533005,NA,13,NA,NA
13,IT,7.675652152184934,8.934302505130244,-47.42771797628787,-49.72425347566333,2.2965354993754588,-54.61822602088711,-55.32702253533005,NA,NA,13,NA
14,IT,7.630493282916136,9.603753077728836,-47.20813851418334,-50.52802655238083,3.3198880381974902,-54.57243280266753,-55.39574572019474,TRUE,14,NA,14
14,IT,7.630493282916136,9.603753077728836,-47.20813851418334,-50.52802655238083,3.3198880381974902,-54.57243280266753,-55.39574572019474,TRUE,NA,14,14
15,IT,7.48128302876932,9.085365289888479,-46.85971784898707,-49.69469313261886,2.834975283631792,-54.53750068915557,-55.56299370715368,NA,15,NA,NA
15,IT,7.48128302876932,9.085365289888479,-46.85971784898707,-49.69469313261886,2.834975283631792,-54.53750068915557,-55.56299370715368,NA,NA,15,NA
