time1,time2,level,value,pval,pval_correct,final_value,scaled_value
0,0,IT,56.03221609473745,0.526,1,56.03221609473745,-1.1100188543569753
0,1,IT,55.70614483057345,0.454,1,55.70614483057345,-1.1297767641706271
0,2,IT,55.582449481187574,0.386,1,55.582449481187574,-1.1372719403058202
0,3,IT,57.329173183449264,0.663,1,57.329173183449264,-1.0314312448151055
0,4,IT,67.7273462271923,0.555,1,67.7273462271923,-0.40136601735093813
0,5,IT,78.72348827022606,0.482,1,78.72348827022606,0.2649324476223261
0,6,IT,73.84884154343766,0.325,1,73.84884154343766,-0.030441113271578613
0,7,IT,64.68820979026574,0.362,1,64.68820979026574,-0.58551896252422575
0,8,IT,69.50290267725545,0.425,1,69.50290267725545,-0.29377823497048616
0,9,IT,87.4005626050172,0.137,0.8782051282051283,87.4005626050172,0.7907096963250143
0,10,IT,94.81059068510699,0.115,0.7625994694960212,94.81059068510699,1.2397117477581774
0,11,IT,89.6174764579907,0.175,1,89.6174764579907,0.9250410182953408
0,12,IT,84.52514645458808,0.347,1,84.52514645458808,0.6164771918982459
0,13,IT,82.85914558547434,0.466,1,82.85914558547434,0.5155278027951968
0,14,IT,82.44438232824756,0.542,1,82.44438232824756,0.4903957045978484
0,15,IT,80.9794368658076,0.519,1,80.9794368658076,0.40162903451725757
0,16,IT,82.2405775345263,0.503,1,82.2405775345263,0.47804638965818763
0,17,IT,82.48540935584887,0.473,1,82.48540935584887,0.49288168971937485
0,18,IT,83.8407287578044,0.532,1,83.8407287578044,0.5750056958969365
0,19,IT,83.69039184915762,0.456,1,83.69039184915762,0.5658962053985273
0,20,IT,88.00443230297148,0.493,1,88.00443230297148,0.8273004798212776
0,21,IT,95.26259519717217,0.507,1,95.26259519717217,1.2671004365702523
0,22,IT,85.59632910318483,0.572,1,85.59632910318483,0.6813842612751976
0,23,IT,81.28317422857403,0.585,1,81.28317422857403,0.42003364749645317
0,24,IT,79.92967210115592,0.552,1,79.92967210115592,0.3380197569603571
0,25,IT,78.90587795474036,0.497,1,78.90587795474036,0.27598413887397083
0,26,IT,76.24687790698317,0.562,1,76.24687790698317,0.11486511701604155
0,27,IT,74.79204971378255,0.561,1,74.79204971378255,0.026711491122903486
0,28,IT,73.8545181041761,0.529,1,73.8545181041761,-0.03009714866185044
0,29,IT,72.59662466824643,0.468,1,72.59662466824643,-0.1063177415006678
0,30,IT,71.32515642464435,0.431,1,71.32515642464435,-0.18336088405547174
0,31,IT,70.34296224578065,0.412,1,70.34296224578065,-0.24287580038898254
0,32,IT,69.10035716665861,0.384,1,69.10035716665861,-0.31817001299071196
0,33,IT,68.13340222959263,0.382,1,68.13340222959263,-0.3767615251541569
0,34,IT,66.7783319004477,0.271,1,66.7783319004477,-0.4588704390538348
0,35,IT,66.88353629562408,0.28,1,66.88353629562408,-0.452495700828361
0,36,IT,67.50357068149829,0.317,1,67.50357068149829,-0.4149254368283295
0,37,IT,66.05453885052962,0.235,1,66.05453885052962,-0.5027278388792809
0,38,IT,65.80728321761701,0.255,1,65.80728321761701,-0.51771000699069
0,39,IT,65.58092380445453,0.242,1,65.58092380445453,-0.5314259929184965
0,40,IT,66.28326706477675,0.234,1,66.28326706477675,-0.4888683181989814
0,41,IT,66.98470961230512,0.248,1,66.98470961230512,-0.4463652211258422
0,42,IT,66.14816532711566,0.216,1,66.14816532711566,-0.4970546511934548
0,43,IT,66.42857727703941,0.28,1,66.42857727703941,-0.48006341453398327
0,44,IT,66.32514029167807,0.188,1,66.32514029167807,-0.48633105861297055
0,45,IT,67.91990485461714,0.253,1,67.91990485461714,-0.38969815080570613
0,46,IT,67.29916063158899,0.233,1,67.29916063158899,-0.42731142656424403
0,47,IT,67.19633620772302,0.227,1,67.19633620772302,-0.43354195319035815
0,48,IT,67.12364984761136,0.247,1,67.12364984761136,-0.43794629882152203
0,49,IT,67.46865710680066,0.255,1,67.46865710680066,-0.4170409843664313
1,0,IT,55.99166432149554,0.407,1,55.99166432149554,-1.1124760419921738
1,1,IT,56.31922678521037,0.564,1,56.31922678521037,-1.0926277746724262
1,2,IT,55.70936915429911,0.224,1,55.70936915429911,-1.1295813900166214
1,3,IT,55.98507412133725,0.041,0.32436708860759494,55.98507412133725,-1.112875367522178
1,4,IT,63.384591893040344,0.024,0.2027027027027027,63.384591893040344,-0.6645101760274409
1,5,IT,76.16827550581095,0.172,1,76.16827550581095,0.1101022957429714
1,6,IT,74.28301214670893,0.192,1,74.28301214670893,-0.004133049464833663
1,7,IT,67.53284158742171,0.432,1,67.53284158742171,-0.413151800255718
1,8,IT,67.8742518066972,0.029,0.2400662251655629,67.8742518066972,-0.39246444425947963
1,9,IT,86.27679568634206,0.005,0.04789272030651342,86.27679568634206,0.7226163441319751
1,10,IT,94.67454106602806,0.013,0.11363636363636363,94.67454106602806,1.231467978989301
1,11,IT,88.25078420240106,0.013,0.11363636363636363,88.25078420240106,0.8422278872511559
1,12,IT,82.42662148134974,0.079,0.5610795454545455,82.42662148134974,0.4893195066933173
1,13,IT,79.80630014579567,0.133,0.856958762886598,79.80630014579567,0.3305441765108161
1,14,IT,81.46248609766877,0.353,1,81.46248609766877,0.4308988420948629
1,15,IT,80.43473531474812,0.334,1,80.43473531474812,0.36862347621152347
1,16,IT,81.25582131970509,0.295,1,81.25582131970509,0.41837622972933086
1,17,IT,82.0800425545819,0.29,1,82.0800425545819,0.4683189588653823
1,18,IT,80.21114045985472,0.136,0.8740359897172237,80.21114045985472,0.355075005483485
