level,plateau_mean,SE,start
IT,22.366666666665406,0.8588959750456545,12.5
V1,19.09999999999874,0.8588959750456545,11.5
V2,20.883333333332075,0.8588959750456545,11.5
V4,20.749999999998742,0.8588959750456545,12.5
word2vec,21.966666666665407,0.8588959750456545,13.5
