level,time,sd
V1,0,2.3199749889191894
V1,1,1.8974810254553376
V1,2,2.5545737063081067
V1,3,2.1848070803021162
V1,4,3.8575335254337015
V1,5,5.600743868643208
V1,6,4.491999083866307
V1,7,3.9753469559297816
V1,8,4.153290357793955
V1,9,4.177610431037009
V1,10,4.564214665941706
V1,11,4.949448191029296
V1,12,4.833927245496191
V1,13,4.541127489841826
V1,14,4.418505661379904
V1,15,4.454547339527694
V1,16,4.428846309744859
V1,17,4.433148514287489
V1,18,4.5191322331510495
V1,19,4.61051280705021
V1,20,4.730693491529575
V1,21,4.682223576822797
V1,22,4.893309755101592
V1,23,4.502326275071112
V1,24,4.486511159728063
V1,25,4.498508326977063
V1,26,4.510167230792734
V1,27,4.484533599999141
V1,28,4.626739207798111
V1,29,4.371374855011359
V1,30,4.491158133825252
V1,31,4.582001083851919
V1,32,4.80145473132522
V1,33,4.655025536108828
V1,34,4.761133590126734
V1,35,4.728027567468705
V1,36,4.697487030765438
V1,37,4.760280987069985
V1,38,4.616095061902174
V1,39,4.6190128034288795
V1,40,4.7302842541632
V1,41,4.670368117661945
V1,42,4.670663501010572
V1,43,4.6115951912527535
V1,44,4.518553998068613
V1,45,4.395567614928896
V1,46,4.4949825188675385
V1,47,4.4160381293694355
V1,48,4.369474695033443
V1,49,4.4710879891320365
V2,0,1.7902445013657995
V2,1,0.9858874082655983
V2,2,0.6384767135354231
V2,3,1.0065380020565315
V2,4,1.2550511917930949
V2,5,1.55558215178097
V2,6,1.5404856325507295
V2,7,2.009187499809418
V2,8,1.800494830260807
V2,9,1.8314427564953197
V2,10,2.2097422196221403
V2,11,2.223975528690913
V2,12,2.2607086453560523
V2,13,1.9110068580633999
V2,14,1.7843504606188298
V2,15,1.7860372842393564
V2,16,1.8937348697390362
V2,17,1.8353891297363882
V2,18,1.9069040600173237
V2,19,1.9129935093056953
V2,20,2.0265528133097637
V2,21,2.098236301439585
V2,22,2.1165460581468976
V2,23,1.9091036275224968
V2,24,1.928400798926766
V2,25,1.8802738435976918
V2,26,1.9882905558553952
V2,27,1.9491966665882363
V2,28,2.0094206147813436
V2,29,1.949569178597219
V2,30,1.9832326134059568
V2,31,2.0208388445359864
V2,32,1.9893038161947465
V2,33,1.9665725423107132
V2,34,1.909317410784692
V2,35,1.884841017986803
V2,36,1.8877792228148023
V2,37,1.8656245074650486
V2,38,1.8037358787308404
V2,39,1.8897649576304927
V2,40,1.889818922717275
V2,41,1.890814449790108
V2,42,1.8855439348724454
V2,43,1.791683312242861
V2,44,1.7920640689095888
V2,45,1.8270768636514563
V2,46,1.9067714088266707
V2,47,1.9182255813790108
V2,48,1.9060056835910175
V2,49,1.9163666476557257
V4,0,0.9216150610959101
V4,1,0.7101527792727367
V4,2,0.7435884478764384
V4,3,0.6566035596186816
V4,4,1.106922684911857
V4,5,1.8004427589492171
V4,6,1.7073706948617062
V4,7,1.6185191320763892
V4,8,1.914811644053503
V4,9,2.0831735518474126
V4,10,2.1792983394344003
V4,11,2.0671776109213864
V4,12,2.050351056913253
V4,13,2.0415504597721315
V4,14,1.9512618187214
V4,15,1.902489756269223
V4,16,1.828761153912353
V4,17,1.790071970625457
V4,18,1.8026570063274467
V4,19,1.8892939823016193
V4,20,1.8927059144213576
V4,21,1.8509986219769492
V4,22,1.7830944969553773
V4,23,1.7044535389214464
V4,24,1.8094198581199994
V4,25,1.8535866068049751
V4,26,1.8014101002525669
V4,27,1.7698371260753363
V4,28,1.7460013345504846
V4,29,1.778933865855673
V4,30,1.8189365951751366
V4,31,1.8532127866239312
V4,32,1.8714117403918464
V4,33,1.838277331994562
V4,34,1.8312188476007238
V4,35,1.8059119431713655
V4,36,1.814976527284078
V4,37,1.7505826922568257
V4,38,1.7552870723056646
V4,39,1.8143369555287594
V4,40,1.8284229200211999
V4,41,1.8156658518418733
V4,42,1.8194809042682574
V4,43,1.8046494661016257
V4,44,1.7750672229442948
V4,45,1.7838862414742098
V4,46,1.7985612209626431
V4,47,1.7970587405214034
V4,48,1.7977529351499228
V4,49,1.7987411143373142
IT,0,0.8211113035750375
IT,1,0.4480461560684147
IT,2,0.48627813380538026
IT,3,0.6701124113031122
IT,4,0.751815347420166
IT,5,0.9761056253598203
IT,6,1.0237557303519635
IT,7,1.205071148822562
IT,8,1.4751410315523035
IT,9,1.4297748591588813
IT,10,1.5483000079530258
IT,11,1.490375827008476
IT,12,1.5150148506674257
IT,13,1.5807167075701825
IT,14,1.5091427565075932
IT,15,1.4886187424894417
IT,16,1.4289041037856938
IT,17,1.4593740951460175
IT,18,1.4334475150786135
IT,19,1.4889253034075247
IT,20,1.4903915163245636
IT,21,1.4951030699439092
IT,22,1.579649597528077
IT,23,1.527347177272591
IT,24,1.4933083302204566
IT,25,1.5167640739359176
IT,26,1.4736633865328257
IT,27,1.489203083511146
IT,28,1.4568442210814614
IT,29,1.4226258550268038
IT,30,1.4145337165405378
IT,31,1.3862710194676786
IT,32,1.368732691028606
IT,33,1.366713958277955
IT,34,1.3617795466025155
IT,35,1.3626827513287827
IT,36,1.3461612655277646
IT,37,1.338499767712602
IT,38,1.348374138338554
IT,39,1.3587294637682743
IT,40,1.3740707739916542
IT,41,1.337691622928228
IT,42,1.337313745201647
IT,43,1.352077683433428
IT,44,1.3699049216428316
IT,45,1.3255005763188898
IT,46,1.3620869167483938
IT,47,1.344157632048402
IT,48,1.3571906104761493
IT,49,1.3816998456024085
word2vec,0,0.054682767653315686
word2vec,1,0.04252657823927018
word2vec,2,0.04633618986398038
word2vec,3,0.044569743124025174
word2vec,4,0.03895052377004912
word2vec,5,0.04613626374282797
word2vec,6,0.03346836828337522
word2vec,7,0.04318385132068453
word2vec,8,0.04318129204039738
word2vec,9,0.052627387654465334
word2vec,10,0.05634456384728457
word2vec,11,0.063237054024847
word2vec,12,0.06981872044574536
word2vec,13,0.07476079904624874
word2vec,14,0.08457568392802846
word2vec,15,0.08284701509890458
word2vec,16,0.08603650064808176
word2vec,17,0.09289447801314332
word2vec,18,0.1014363582510103
word2vec,19,0.10456873939289099
word2vec,20,0.10703052713487818
word2vec,21,0.10873369304425948
word2vec,22,0.1091016143837959
word2vec,23,0.11080466295860261
word2vec,24,0.10964653166726786
word2vec,25,0.10784644602179545
word2vec,26,0.10566655462533332
word2vec,27,0.10408871217561198
word2vec,28,0.11046339532765452
word2vec,29,0.11036868801259488
word2vec,30,0.10956462761650547
word2vec,31,0.11030185742073291
word2vec,32,0.11142354076285077
