level,time,sd
word2vec,33,0.11227734898335336
word2vec,34,0.11459591609128533
word2vec,35,0.11119236233299604
word2vec,36,0.1146815304978872
word2vec,37,0.11297879584974228
word2vec,38,0.1136152415690588
word2vec,39,0.11318720954404675
word2vec,40,0.10715349774081691
word2vec,41,0.10867410771334407
word2vec,42,0.11190858632525995
word2vec,43,0.11393961375989559
word2vec,44,0.11517090431775567
word2vec,45,0.11560196776799385
word2vec,46,0.11900990412837543
word2vec,47,0.11634101661340421
word2vec,48,0.11652846473853747
word2vec,49,0.11460304979120789
